公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2427,三商電,164422,291108,176784,-43.51,-6.99,714199,771978,-7.48,-
2453,凌群,438122,379887,646292,15.32,-32.2,1473598,1594855,-7.6,-
2468,華經,162323,128088,171278,26.72,-5.22,699796,562474,24.41,-
2471,資通,45947,73549,56173,-37.52,-18.2,233872,218153,7.2,-
3029,零壹,727407,909921,734396,-20.05,-0.95,3259216,2831769,15.09,-
4994,傳奇,255388,216519,223779,17.95,14.12,1027779,1039529,-1.13,-
5203,訊連,146737,112152,126150,30.83,16.31,503491,453483,11.02,-
6112,聚碩,1197807,1107034,1047522,8.19,14.34,4431090,4014917,10.36,-
6183,關貿,123626,135693,119440,-8.89,3.5,521545,487100,7.07,-
6214,精誠,1940278,1784803,1904088,8.71,1.9,7698638,6844732,12.47,-
合計,合計,5202057,5138754,5205902,1.23,-0.07,20563224,18818990,9.26,
