公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2314,台揚,321650,321361,501179,0.08,-35.82,1225148,2187627,-43.99,-
2321,東訊,98470,89984,158920,9.43,-38.03,349573,605247,-42.24,-
2332,友訊,818836,1251335,1282075,-34.56,-36.13,4490368,5483064,-18.1,-
2345,智邦,4071989,4651577,4533144,-12.46,-10.17,15796241,15701700,0.6,-
2419,仲琦,567011,645678,954030,-12.18,-40.56,2014536,3540359,-43.09,-
2439,美律,2068643,2627338,3361223,-21.26,-38.45,7259250,10972757,-33.84,-
2444,兆勁,73511,108306,103345,-32.12,-28.86,467708,379024,23.39,-
2450,神腦,1811444,2020104,2210514,-10.32,-18.05,8539581,9988160,-14.5,-
2455,全新,197081,224061,210175,-12.04,-6.23,846716,681482,24.24,-
2485,兆赫,736342,725446,726978,1.5,1.28,2191093,2519177,-13.02,-
2498,宏達電,297166,432247,592648,-31.25,-49.85,1626916,3536274,-53.99,本年營收較去年同期減少，主要係因出貨量減少所致。
3025,星通,16805,34015,45505,-50.59,-63.06,164269,141690,15.93,受新冠肺炎疫情的影響，外銷訂單延遲出貨。
3027,盛達,68539,71786,68655,-4.52,-0.16,240837,243930,-1.26,-
3047,訊舟,496551,494213,448391,0.47,10.74,1707559,2008510,-14.98,-
3062,建漢,464153,380294,424979,22.05,9.21,1392841,1934490,-27.99,-
3311,閎暉,85023,132416,162441,-35.79,-47.65,523282,718626,-27.18,-
3380,明泰,2102528,2291356,1155380,-8.24,81.97,7086648,4371234,62.12,主係因新增合併子公司仲琦增加營收，使本月營收年增率達50%以上
3419,譁裕,157421,104267,139952,50.97,12.48,436560,482760,-9.56,-
3596,智易,2878863,2495368,2860060,15.36,0.65,10021878,11870399,-15.57,-
3682,亞太電,1113262,1147302,1091297,-2.96,2.01,4489220,4565311,-1.66,-
3694,海華,944278,628053,625451,50.35,50.97,2333419,2110402,10.56,客戶訂單需求增加
4906,正文,1912250,1230896,1703180,55.35,12.27,4549457,6092748,-25.32,-
5388,中磊,2563146,2415307,2170943,6.12,18.06,9365133,8650663,8.25,-
6136,富爾特,48173,51497,74278,-6.45,-35.14,226753,296670,-23.56,-
6142,友勁,199593,139281,245606,43.3,-18.73,665003,1000153,-33.5,-
6152,百一,168752,158944,342185,6.17,-50.68,575995,1223050,-52.9,主要係因客戶需求遞延及物料短缺所致
6216,居易,65306,96477,77462,-32.3,-15.69,284036,268820,5.66,-
6285,啟��,4911555,4860185,4600539,1.05,6.76,18277320,18245579,0.17,-
6416,瑞祺電通,425848,475597,238846,-10.46,78.29,1693516,1140644,48.47,因新增合併兩家子公司營業收入淨額，致使本月營收增幅百分比達50%以上。
6442,光聖,222758,197838,239220,12.59,-6.88,775959,867346,-10.53,-
6674,鋐寶科技,187455,183294,243139,2.27,-22.9,726797,962131,-24.45,-
8011,台通,136201,123336,112849,10.43,20.69,465098,466651,-0.33,-
合計,合計,30230603,30809159,31704589,-1.87,-4.64,110808710,123256678,-10.09,
