公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2801,彰銀,2491265,2302770,2526622,8.18,-1.39,9945578,10579370,-5.99,-
2809,京城銀,610561,2148,659955,28324.62,-7.48,2170641,3255987,-33.33,-
2812,台中銀,912982,833745,984909,9.5,-7.3,3642551,4041340,-9.86,-
2816,旺旺保,721021,502045,660303,43.61,9.19,2460070,2678221,-8.14,-
2820,華票,187650,159180,177951,17.88,5.45,761145,679215,12.06,-
2823,中壽,20908977,25691180,32223818,-18.61,-35.11,91794228,124592175,-26.32,-
2832,台產,452919,408922,414952,10.75,9.14,1727331,1712076,0.89,-
2834,臺企銀,1734157,1830935,1863720,-5.28,-6.95,7233221,7998575,-9.56,-
2836,高雄銀,280218,295962,362610,-5.31,-22.72,1277399,1304046,-2.04,-
2838,聯邦銀,1308269,783036,1088932,67.07,20.14,4309926,4524601,-4.74,-
2845,遠東銀,1230541,275454,917136,346.73,34.17,3524654,4041145,-12.78,-
2849,安泰銀,480922,485774,581060,-0.99,-17.23,1977307,2171762,-8.95,-
2851,中再保,1406873,1207118,1352146,16.54,4.04,5737421,5532854,3.69,-
2852,第一保,554733,318904,245322,73.94,126.12,1723455,1997156,-13.7,本月營收較去年同期增加，主要係因未實現投資評價損益增加所致。
2855,統一證,990962,-417846,639164,337.15,55.04,1395307,2748454,-49.23,本月營收增加主因交易部位操作獲利增加所致
2880,華南金,3955035,-1696861,3847213,333.07,2.8,9821348,16003662,-38.63,-
2883,開發金,13113711,18867669,23529250,-30.49,-44.26,65545467,91460313,-28.33,-
2884,玉山金,4962271,4497324,4335471,10.33,14.45,18930254,17806062,6.31,-
2886,兆豐金,7021558,1621611,5156077,332.99,36.18,17817822,21843188,-18.42,-
2887,台新金,3971006,2393636,3517536,65.89,12.89,13944600,14593809,-4.44,-
2888,新光金,19827418,15653326,22580675,26.66,-12.19,88994374,90545057,-1.71,-
2889,國票金,749345,489221,476438,53.17,57.28,2245048,2109510,6.42,本月透過損益按公允價值衡量之金融資產及負債損益較去年+206658仟元
2890,永豐金,3296553,1911147,2804741,72.49,17.53,12119217,12562501,-3.52,-
2892,第一金,5390100,3128935,4769698,72.26,13.0,19007595,20388406,-6.77,-
2897,王道銀行,663844,606075,760355,9.53,-12.69,2546929,2986571,-14.72,-
5876,上海商銀,3052530,3038760,3407998,0.45,-10.43,12920351,12932276,-0.09,-
5880,合庫金,4333290,3453667,3860556,25.46,12.24,15645974,16026785,-2.37,-
6005,群益證,936066,-360668,507649,359.53,84.39,1476560,2311565,-36.12,因台股指數回升，自營獲利較上月增加所致。
6024,群益期,204003,290360,151788,-29.74,34.39,831361,611782,35.89,-
合計,合計,105748780,88573529,124404045,19.39,-14.99,421527134,500038464,-15.7,
