公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2007,燁興,429089,507801,544030,-15.5,-21.12,1925582,2415245,-20.27,-
2008,高興昌,60529,65493,104792,-7.57,-42.23,271661,525422,-48.29,-
2009,第一銅,187792,226830,196095,-17.21,-4.23,744305,788986,-5.66,-
2010,春源,1535784,1570746,1315862,-2.22,16.71,5710006,5185331,10.11,-
2013,中鋼構,1108576,1252784,1803066,-11.51,-38.51,4260460,6538278,-34.83,-
2014,中鴻,2537663,3260699,4306539,-22.17,-41.07,12636556,16290489,-22.42,-
2015,豐興,2276903,2461233,2435220,-7.48,-6.5,8792090,9461728,-7.07,-
2024,志聯,77482,104488,117513,-25.84,-34.06,359586,427979,-15.98,-
2025,千興,40871,116327,183543,-64.86,-77.73,305997,472493,-35.23,"本月營收較去年同期減少，主要係受武漢肺炎疫情影響,訂單急遽萎縮所致。"
2028,威致,602369,760417,826360,-20.78,-27.1,2495783,3479255,-28.26,-
2029,盛餘,590475,802070,892533,-26.38,-33.84,2994187,3282551,-8.78,-
2030,彰源,934463,936346,964570,-0.2,-3.12,3276006,3937133,-16.79,-
2031,新光鋼,732784,763992,634968,-4.08,15.4,2879595,2623920,9.74,-
2032,新鋼,225701,269045,222187,-16.11,1.58,970763,909236,6.76,-
2033,佳大,63596,72964,78026,-12.83,-18.49,253881,284968,-10.9,-
2034,允強,922422,1349388,1438624,-31.64,-35.88,4683663,5461586,-14.24,-
2038,海光,775398,756575,745003,2.48,4.07,2651371,2879874,-7.93,-
2069,運錩,566325,632860,751917,-10.51,-24.68,2159520,2746481,-21.37,-
3004,豐達科,145974,215721,225153,-32.33,-35.16,799639,860234,-7.04,-
5007,三星,240603,527560,588623,-54.39,-59.12,1734562,2431830,-28.67,因新冠狀病毒疫情影響，歐美車廠停工，客戶延遲提貨。
9958,世紀鋼,360933,384295,128912,-6.07,179.98,1543954,529740,191.45,本月及本年增加達50%以上，係因風力事業陸續投產所致，收入較同期增加。
合計,合計,14415732,17037634,18503536,-15.38,-22.09,61449167,71532759,-14.09,
