公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1603,華電,156566,212014,282191,-26.15,-44.51,812712,735822,10.44,-
1604,聲寶,577889,573093,672274,0.83,-14.03,2386110,2439352,-2.18,-
1605,華新,12913956,9160981,14156462,40.96,-8.77,37109155,51209199,-27.53,-
1608,華榮,500631,674058,602601,-25.72,-16.92,2211431,2466404,-10.33,-
1611,中電,168646,180126,204744,-6.37,-17.63,732288,778574,-5.94,-
1612,宏泰,327067,444449,291449,-26.41,12.22,1492083,1202856,24.04,-
1614,三洋電,408347,368332,499403,10.86,-18.23,1578304,1727861,-8.65,-
1615,大山,309542,230966,187053,34.02,65.48,866319,809814,6.97,本月配合客戶訂單交期出貨量增加所致。
1616,億泰,282964,232330,200227,21.79,41.32,902145,815385,10.64,-
1618,合機,198568,176162,158173,12.71,25.53,634847,635448,-0.09,-
4930,燦星網,652545,509711,817948,28.02,-20.22,2098725,2830375,-25.84,"109/3/27董事會決議處分燦星國旅全數持股，109年第一季起將該公司轉列停業單位，合併營收需分別扣除108,780仟元及594,518千元"
合計,合計,16496721,12762222,18072525,29.26,-8.71,50824119,65651090,-22.58,
