公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2347,聯強,23525704,26890896,25556423,-12.51,-7.94,92231060,106889543,-13.71,本月營收係當月自結數，前期調整數反應在本年累計營收內
2414,精技,1579148,1669811,1358392,-5.42,16.25,6508668,5558896,17.08,-
2430,燦坤,1440824,1332533,1619836,8.12,-11.05,5961353,6506375,-8.37,-
2459,敦吉,504836,515998,666166,-2.16,-24.21,1874356,2392428,-21.65,-
3010,華立,5271180,4848323,4464438,8.72,18.07,17624207,16530318,6.61,-
3036,文曄,27879410,35370688,24649113,-21.17,13.1,105355069,92123320,14.36,-
3048,益登,8007988,8422664,7013758,-4.92,14.17,29593770,24502886,20.77,-
3055,蔚華科,242938,330134,162136,-26.41,49.83,887420,841318,5.47,-
3209,全科,3679577,3234867,2829571,13.74,30.04,13202251,10819488,22.02,-
3312,弘憶股,1135611,1114075,978694,1.93,16.03,4129644,3460801,19.32,-
3702,大聯大,55754407,54024503,41050777,3.2,35.81,186798715,152882719,22.18,-
5434,崇越,3410752,3179635,2386422,7.26,42.92,12200604,9486008,28.61,-
6281,全國電,1514212,1284407,1626938,17.89,-6.92,5752653,5558006,3.5,-
8070,長華,1388540,1407535,1191791,-1.34,16.5,5176950,4657464,11.15,-
8072,陞泰,59724,69010,48651,-13.45,22.76,244747,229038,6.85,-
8112,至上,9049040,13309020,9690160,-32.0,-6.61,41301179,30594557,34.99,-
合計,合計,144443891,157004099,125293266,-7.99,15.28,528842646,473033165,11.79,
