公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1471,首利,64285,62665,53522,2.58,20.1,186077,361667,-48.55,-
1582,信錦,1011892,890651,709673,13.61,42.58,2727346,2713909,0.49,-
2059,川湖,370278,430569,365354,-14.0,1.34,1531398,1514810,1.09,-
2308,台達電,23297848,21083381,23424926,10.5,-0.54,78975882,77527153,1.86,-
2313,華通,4630415,4808206,4036133,-3.69,14.72,16720078,14494775,15.35,-
2316,楠梓電,452054,457207,434205,-1.12,4.11,1540782,1626299,-5.25,-
2327,國巨,4440896,4034955,3251353,10.06,36.58,14461052,14642135,-1.23,-
2328,廣宇,1766744,1699420,2110653,3.96,-16.29,6475592,7608232,-14.88,-
2355,敬鵬,1002271,1419387,1552545,-29.38,-35.44,5127890,6212659,-17.46,-
2367,燿華,776210,1139982,1863452,-31.91,-58.34,4408272,6695163,-34.15,受疫情影響致營收減少
2368,金像電,2233286,1946745,1346241,14.71,65.89,7295187,5688256,28.24,全球疫情影響，居家辦公及遠距教學帶動伺服器及筆電需求成長
2375,凱美,417592,366178,429790,14.04,-2.83,1300530,1500765,-13.34,-
2383,台光電,2227024,2168471,1995528,2.7,11.6,8136011,7067206,15.12,-
2385,群光,8891424,7601329,6751644,16.97,31.69,27001644,25929085,4.13,-
2392,正崴,7059919,6404164,6942848,10.23,1.68,23258897,26190495,-11.19,-
2402,毅嘉,425864,511528,521625,-16.74,-18.35,1554123,1933876,-19.63,-
2413,環科,317379,324433,277415,-2.17,14.4,1090200,1234477,-11.68,-
2415,錩新,158948,199433,193659,-20.3,-17.92,679054,717930,-5.41,-
2420,新巨,178067,187752,226811,-5.15,-21.49,730957,871923,-16.16,-
2421,建準,1251738,956664,874364,30.84,43.15,3499705,3312788,5.64,-
2428,興勤,507037,424129,429899,19.54,17.94,1602528,1832755,-12.56,-
2431,聯昌,129336,204597,259254,-36.78,-50.11,748422,970574,-22.88,因海外疫情擴大，全球各地採取鎖國封城等措施，本公司部份客戶減少生產甚至停工，影響本公司營收。
2440,太空梭,247933,254508,250751,-2.58,-1.12,757448,838561,-9.67,-
2456,奇力新,1573110,1401714,1312565,12.22,19.85,5193985,5010120,3.66,-
2457,飛宏,744969,652593,929754,14.15,-19.87,2344122,3675246,-36.21,-
2460,建通,303930,246544,327293,23.27,-7.13,793028,1105169,-28.24,-
2467,志聖,293200,336387,434928,-12.83,-32.58,1060588,1553998,-31.75,-
2472,立隆電,683639,689817,625069,-0.89,9.37,2251286,2266241,-0.65,-
2476,鉅祥,421577,396120,412622,6.42,2.17,1457428,1635805,-10.9,-
