公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1506,正道,45553,91882,107664,-50.42,-57.68,292743,403274,-27.4,正道集團受新冠肺炎影響：正道馬來廠停工(已於2020/4/29全面復工) 及客戶端出貨減緩，導致本月營收較去年同期衰退超過50%。
1513,中興電,1211115,1160807,860310,4.33,40.77,4254279,3537177,20.27,-
1514,亞力,431356,468388,417216,-7.9,3.38,1642740,1521445,7.97,-
1515,力山,494494,454220,634330,8.86,-22.04,1913033,2642873,-27.61,-
1526,日馳,83948,84706,104555,-0.89,-19.7,319864,343883,-6.98,-
1527,鑽全,253386,310571,315568,-18.41,-19.7,1124723,1236924,-9.07,-
1528,恩德,272687,325884,322028,-16.32,-15.32,1111513,1261913,-11.91,-
1529,樂士,57856,62431,5208,-7.32,1010.9,230110,62184,270.04,"本期太陽能工程營收及電費收入均較去年同期多,故增幅高"
1530,亞崴,289848,244352,260772,18.61,11.14,880964,1098468,-19.8,-
1531,高林股,145877,156697,215510,-6.9,-32.31,482013,816797,-40.98,受中國因疫情封城停工影響， 接著肺炎疫情於全球不斷擴大，美、歐多國相繼宣布封關，疫情對產業影響持續擴大致業績衰退。
1532,勤美,832480,867494,1099565,-4.03,-24.29,3100387,4864717,-36.26,-
1535,中宇,620260,815449,682762,-23.93,-9.15,2638440,3401950,-22.44,-
1537,廣隆,504349,630694,655797,-20.03,-23.09,2209382,2664101,-17.06,-
1539,巨庭,157734,189668,188440,-16.83,-16.29,612869,830322,-26.18,-
1540,喬福,5703,26825,72586,-78.73,-92.14,105473,230186,-54.17,主力美國及歐洲市場衰退
1558,伸興,504995,491547,537176,2.73,-5.99,1674186,1613072,3.78,-
1560,中砂,450328,420382,400295,7.12,12.49,1678190,1642219,2.19,-
1583,程泰,425438,458905,462119,-7.29,-7.93,1471054,1986206,-25.93,-
2049,上銀,1746884,1364012,1957222,28.06,-10.74,5360951,7005218,-23.47,-
3167,大量,178505,131909,175636,35.32,1.63,501560,622358,-19.4,-
4532,瑞智,1675672,1698443,2356716,-1.34,-28.89,5913414,7682380,-23.02,-
4540,全球傳動,241847,251213,192332,-3.72,25.74,785506,695262,12.97,-
4555,氣立,158630,145733,120545,8.84,31.59,450491,458993,-1.85,-
4564,元翎,134988,183057,292470,-26.25,-53.84,649321,1034433,-37.22,本月營收較去年同期減少，主要係因受新冠肺炎疫情影響所致。
4566,時碩工業,255740,327590,348746,-21.93,-26.66,1200822,1248472,-3.81,-
4572,駐龍,32548,37363,77363,-12.88,-57.92,151334,294188,-48.55,主要係受B737Max停產事件影響，以及因新型冠狀病毒全球漫延，國外客戶為防堵疫情相繼關閉生產線所致。
4576,大銀微系統,233170,252738,202565,-7.74,15.1,790609,675602,17.02,-
8222,寶一,31482,54536,76260,-42.27,-58.71,211055,268438,-21.37,"國外客戶因疫情影響關廠中,故無法外銷出貨"
8374,羅昇,269892,304865,307295,-11.47,-12.17,902687,1049240,-13.96,-
8996,高力,163585,246253,168824,-33.57,-3.1,711745,700535,1.6,-
合計,合計,11910350,12258614,13617875,-2.84,-12.53,43371458,51892830,-16.42,
