公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2301,光寶科,13747339,12600894,13534890,9.09,1.56,46332609,54727413,-15.33,-
2305,全友,50546,45056,30050,12.18,68.2,136660,142523,-4.11,原部份3月出貨延至4月
2324,仁寶,94304826,80770843,81821066,16.75,15.25,276352091,292420500,-5.49,-
2331,精英,2679634,1702273,2534665,57.41,5.71,6794196,8845329,-23.18,-
2352,佳世達,14487094,14595548,12901390,-0.74,12.29,53687261,52755114,1.76,-
2353,宏��,19747695,24070662,13999083,-17.95,41.06,68602198,68679630,-0.11,-
2356,英業達,49286244,41899604,39209842,17.62,25.69,137965354,154074723,-10.45,-
2357,華碩,22735388,26361024,19995426,-13.75,13.7,93493355,105924650,-11.73,"以上申報之合併營收已排除停業單位營收。109年04月及108年04月累計合併營收(含停業單位)為95,108,497仟元及115,464,962仟元。"
2362,藍天,1745563,1504763,1605010,16.0,8.75,5173914,7249218,-28.62,-
2365,昆盈,116524,143508,133692,-18.8,-12.84,451582,485178,-6.92,-
2376,技嘉,6165821,6310689,4386381,-2.29,40.56,23399606,20411521,14.63,-
2377,微星,10608256,10307830,8539331,2.91,24.22,39111798,38027252,2.85,-
2380,虹光,90226,115604,147291,-21.95,-38.74,384848,539894,-28.71,-
2382,廣達,83397185,78111605,78126788,6.76,6.74,273661223,299457083,-8.61,-
2387,精元,1707168,1430985,912984,19.3,86.98,4435622,3345309,32.59,因疫情居家辦公及客戶NB新機型導入出貨量增加，連帶鍵盤出貨量增加所致
2395,研華,4393004,4076906,4657548,7.75,-5.67,15665193,16958138,-7.62,-
2397,友通,686427,850816,574033,-19.32,19.57,2862748,2017944,41.86,-
2405,浩鑫,137182,151907,386333,-9.69,-64.49,622076,1175191,-47.06,疫情影響
2417,圓剛,317136,286157,245666,10.82,29.09,980256,906392,8.14,-
2424,隴華,745,2956,194,-74.79,284.02,6661,602,1006.47,本月認列寬頻服務收入553千元，去年同期並沒有此收入
2425,承啟,265630,266702,457884,-0.4,-41.98,769127,1310979,-41.33,-
2442,新美齊,307611,357473,400040,-13.94,-23.1,1167269,1499629,-22.16,本年累計較去年同期減少，主係車用電子產品營收下滑
2465,麗臺,429844,293685,278620,46.36,54.27,1205055,1099169,9.63,本月營收較去年同期成長54.28%，主係 AI人工智慧趨勢的帶動下，受惠於中國大陸市場對高速運算需求大增，致營收的成長。
3002,歐格,65985,58629,54843,12.54,20.31,215799,206510,4.49,-
3005,神基,2582678,2157827,2134899,19.68,20.97,8181337,7819363,4.62,-
3013,晟銘電,634152,654258,444256,-3.07,42.74,1994615,1832468,8.84,-
3017,奇鋐,4219346,2216110,3251798,90.39,29.75,11705897,10166021,15.14,合併營收數字係本公司自結，最終全球合併營收數字以會計師查核為準。
3022,威強電,470153,377797,400335,24.44,17.43,1478289,1886466,-21.63,-
3046,建��,155519,112718,168906,37.97,-7.92,439313,612654,-28.29,-
3057,喬鼎,68690,91127,92053,-24.62,-25.37,358905,385262,-6.84,-
3060,銘異,218362,410477,482406,-46.8,-54.73,1352129,1916018,-29.43,由於馬來西亞受到COVID-19影響宣布封城，該期間馬來西亞廠無法正常進行生產和出貨，導致營收較去年同期衰退。
3231,緯創,66875475,68332849,63549753,-2.13,5.23,240560042,269763553,-10.82,-
3416,融程電,122117,133211,151239,-8.32,-19.25,472105,552582,-14.56,-
3494,誠研,28287,60023,97097,-52.87,-70.86,205301,329497,-37.69,因受新型冠狀病毒疫情影響，致使營收下降。
3701,大眾控,585496,486271,636823,20.4,-8.05,1899173,2440587,-22.18,-
3706,神達,2752597,3058336,2156414,-9.99,27.64,11436162,9649134,18.52,-
3712,永崴投控,522105,665384,637875,-21.53,-18.14,2133180,2588029,-17.57,-
4916,事欣科,327068,581388,565112,-43.74,-42.12,1924408,2308120,-16.62,-
4938,和碩,103774385,101034602,112750133,2.71,-7.96,382266833,406864676,-6.04,無
5258,虹堡,281664,276445,270260,1.88,4.21,1148434,968748,18.54,-
6117,迎廣,175398,182699,166461,-3.99,5.36,695704,593176,17.28,-
6128,上福,188256,449209,535488,-58.09,-64.84,1526602,2231800,-31.59,受新冠肺炎疫情影響，主要市場歐美多國封城，經濟活動暫停，導致營收驟減
6166,凌華,685663,1053577,815699,-34.92,-15.94,3165788,3477084,-8.95,-
6172,互億,42092,35577,48238,18.31,-12.74,124261,195513,-36.44,-
6206,飛捷,312149,410776,469629,-24.0,-33.53,1569139,1903618,-17.57,-
6235,華孚,127037,162549,170050,-21.84,-25.29,576809,939483,-38.6,-
6277,宏正,362109,395293,389662,-8.39,-7.07,1515454,1545580,-1.94,-
6414,樺漢,5989341,6535207,5755357,-8.35,4.06,23852363,23287146,2.42,-
6579,研揚,485657,466624,483455,4.07,0.45,1883858,2024724,-6.95,-
6669,緯穎,13208168,10869031,12288106,21.52,7.48,48356595,50724446,-4.66,-
8163,達方,1811718,1654877,1592856,9.47,13.74,5923407,5615881,5.47,-
8210,勤誠,763950,553141,496898,38.11,53.74,2101225,2057346,2.13,客戶需求成長，與第一季停工導致之訂單遞延，營收變動達50%以上
9912,偉聯,27287,44849,48495,-39.15,-43.73,150701,190267,-20.79,-
合計,合計,535269992,509778351,495982803,5.0,7.92,1812474530,1947129133,-6.91,
