公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1210,大成,6180161,6233854,6424220,-0.86,-3.79,24967155,24702328,1.07,-
1213,大飲,22416,24268,28570,-7.63,-21.54,102482,160968,-36.33,-
1215,卜蜂,1851960,1911231,1739496,-3.1,6.46,7093153,6774793,4.69,-
1218,泰山,630513,661552,592778,-4.69,6.36,2534680,2366233,7.11,-
1219,福壽,1017898,1060891,1038477,-4.05,-1.98,4007636,4008884,-0.03,-
1220,台榮,215302,222238,209667,-3.12,2.68,817212,822950,-0.69,-
1225,福懋油,856010,886030,889193,-3.38,-3.73,3377302,3366963,0.3,-
1229,聯華,748609,786115,616100,-4.77,21.5,2795638,1844754,51.54,本公司本年度合併營收成長主因自108年4月起納入子公司神通電腦及神通資訊營收所致。
1231,聯華食,646251,700011,642774,-7.67,0.54,2744297,2760844,-0.59,-
1232,大統益,1259038,1364616,1328619,-7.73,-5.23,5332720,5487892,-2.82,-
1233,天仁,122898,117999,165999,4.15,-25.96,612349,735108,-16.69,-
1234,黑松,620378,593417,618002,4.54,0.38,2569661,2763259,-7.0,-
1235,興泰,1908,1562,2555,22.15,-25.32,6105,7251,-15.8,-
1737,臺鹽,264371,260465,228226,1.49,15.83,988828,904274,9.35,-
合計,合計,14437713,14824249,14524676,-2.6,-0.59,57949218,56706501,2.19,
