acqic,bacno,cano,conam,contp,csmcu,ecfg,etymd,flbmk,flg_3dsmk,fraud_ind,hcefg,insfg,iterm,locdt,loctm,mcc,mchno,ovrlt,scity,stocn,stscd,txkey
3288,88538,81033,1.38,5,62,Y,8,N,N,1,5,N,0,7,45457.0,337,20984,N,621,93,2,651056
6881,157859,82925,513.8,5,0,N,0,N,N,1,5,N,0,23,154137.0,457,59360,N,0,102,0,503429
6769,34663,73355,677.88,5,62,Y,8,N,N,1,5,N,0,54,172810.0,373,79663,N,5817,102,0,259268
6856,74183,18151,229.61,5,62,Y,8,N,N,1,5,N,0,32,112902.0,288,69240,N,0,104,0,1423892
6881,125183,48320,513.8,5,0,N,0,N,N,1,5,N,0,67,45823.0,457,59360,N,0,102,0,554270
6215,43976,129128,551.51,5,62,Y,2,N,N,1,5,N,0,44,125847.0,289,54828,N,3460,46,2,1879721
0,40293,48347,0.0,5,0,N,1,N,N,1,1,N,0,19,125656.0,340,103106,N,0,104,0,1956048
6769,8792,2318,335.41,5,62,Y,8,N,N,1,5,N,0,52,120845.0,203,79662,N,5817,102,0,431725
6215,60064,101026,0.0,5,62,N,2,N,N,1,5,N,0,58,70825.0,289,54828,N,3460,46,0,1894311
6405,157973,97498,1874.76,4,4,Y,2,N,N,1,5,N,0,20,204413.0,322,59597,N,4667,6,2,1853832
6173,7281,38647,0.0,5,61,N,2,N,N,1,5,N,0,40,44738.0,380,56722,N,4427,104,2,1875276
3168,77441,206437,798.99,5,38,N,5,N,N,1,5,N,0,36,185550.0,246,103301,Y,4625,78,0,701205
6881,148530,76941,513.8,5,0,N,0,N,N,1,5,N,0,36,232848.0,457,59333,N,0,102,0,519695
6526,34199,172046,0.08,4,26,Y,2,N,N,1,5,N,0,6,190808.0,318,68613,N,5932,52,2,1838814
3470,86840,108838,1138.5,5,10,Y,8,N,N,1,5,N,0,34,225400.0,332,21791,N,4552,16,0,698281
3348,62337,173073,0.0,5,62,Y,8,N,N,1,5,N,0,66,110626.0,380,54238,N,6580,38,0,749204
6760,136433,84505,1372.09,5,54,N,2,N,N,1,5,N,0,76,10519.0,349,66655,N,1803,75,2,1912689
3348,103187,104380,1016.34,5,62,Y,8,N,N,1,5,N,0,31,195752.0,380,54238,N,6580,38,0,691033
6769,73962,147183,425.27,5,62,Y,8,N,N,1,5,N,0,72,155509.0,373,79663,N,5817,102,0,292293
6215,117283,180720,407.87,5,62,Y,2,N,N,1,5,N,0,56,225316.0,380,54238,N,6580,38,0,1893057
6881,135724,130661,513.8,5,0,N,0,N,N,1,5,N,0,9,182911.0,457,59333,N,0,102,0,487164
